"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY","BILL_AMT","PAY_AMT","DEFAULT","UTILIZATION"
"1",20000,2,2,1,24,2,3913,0,1,0.19565
"2",120000,2,2,2,26,-1,2682,0,1,0.02235
"3",90000,2,2,2,34,0,29239,1518,0,0.324877777777778
"4",50000,2,2,1,37,0,46990,2000,0,0.9398
"5",50000,1,2,1,57,-1,8617,2000,0,0.17234
"6",50000,1,1,2,37,0,64400,2500,0,1.288
"7",5e+05,1,1,2,29,0,367965,55000,0,0.73593
"8",1e+05,2,2,2,23,0,11876,380,0,0.11876
"9",140000,2,3,1,28,0,11285,3329,0,0.0806071428571429
"10",20000,1,3,2,35,-2,0,0,0,0
"11",2e+05,2,3,2,34,0,11073,2306,0,0.055365
"12",630000,2,2,2,41,-1,12137,1000,0,0.0192650793650794
"13",70000,1,2,2,30,1,65802,3200,1,0.940028571428571
"14",250000,1,1,2,29,0,70887,3000,0,0.283548
"15",50000,2,3,3,23,1,50614,0,0,1.01228
"16",20000,1,1,2,24,0,15376,3200,1,0.7688
"17",320000,1,1,1,49,0,253286,10358,0,0.79151875
"18",360000,2,1,1,49,1,0,0,0,0
"19",180000,2,1,2,29,1,0,0,0,0
"20",130000,2,3,2,39,0,38358,3000,0,0.295061538461538
"21",120000,2,2,1,39,-1,316,316,1,0.00263333333333333
"22",70000,2,2,2,26,2,41087,2007,1,0.586957142857143
"23",50000,1,3,2,23,0,47620,1973,0,0.9524
"24",50000,2,3,2,30,0,22541,1300,0,0.45082
"25",50000,1,1,2,26,0,15329,1500,0,0.30658
"26",50000,1,2,2,33,2,30518,1718,1,0.61036
"27",1e+05,1,1,2,32,0,93036,3023,0,0.93036
"28",5e+05,2,2,1,54,-2,10929,4152,0,0.021858
"29",5e+05,1,1,1,58,-2,13709,5006,0,0.027418
"30",160000,1,1,2,30,-1,30265,131,0,0.18915625
"31",280000,1,2,1,40,0,186503,8026,0,0.666082142857143
"32",60000,2,2,2,22,0,15054,1500,0,0.2509
"33",360000,1,1,2,33,0,218668,10000,0,0.607411111111111
"34",70000,2,1,2,25,0,67521,3000,0,0.964585714285714
"35",10000,1,2,2,22,0,1877,1500,0,0.1877
"36",140000,2,2,1,37,0,59504,3000,0,0.425028571428571
"37",40000,2,1,2,30,0,18927,3000,0,0.473175
"38",210000,1,1,2,29,-2,0,0,1,0
"39",20000,2,1,2,22,0,14028,3000,1,0.7014
"40",380000,1,2,2,32,-1,22401,21540,0,0.05895
"41",20000,1,1,2,24,0,17447,1318,0,0.87235
"42",70000,1,3,2,42,1,37042,0,1,0.529171428571429
"43",1e+05,2,3,3,43,0,61559,2000,0,0.61559
"44",310000,2,2,1,49,-2,13465,7875,0,0.0434354838709677
"45",180000,2,1,2,25,1,41402,1300,0,0.230011111111111
"46",150000,2,1,2,29,2,46224,1600,0,0.30816
"47",180000,2,3,1,34,0,16386,8500,0,0.0910333333333333
"48",180000,2,2,1,34,0,175886,8083,0,0.977144444444444
"49",2e+05,2,1,2,34,-1,1587,0,0,0.007935
"50",4e+05,2,2,1,29,0,400134,17000,0,1.000335
"51",5e+05,2,3,1,28,0,22848,1516,1,0.045696
"52",70000,1,2,1,39,0,70800,4025,0,1.01142857142857
"53",50000,1,1,2,29,2,24987,0,1,0.49974
"54",50000,2,2,1,46,0,28718,1000,1,0.57436
"55",130000,2,2,1,51,-1,99,0,0,0.000761538461538462
"56",2e+05,1,1,1,57,-2,152519,0,1,0.762595
"57",210000,2,1,2,30,2,300,300,0,0.00142857142857143
"58",80000,1,1,2,31,-1,780,0,0,0.00975
"59",320000,1,2,2,29,2,58267,2500,1,0.182084375
"60",2e+05,2,2,1,32,-1,9076,5818,0,0.04538
"61",290000,2,1,2,37,1,0,0,0,0
"62",20000,1,2,2,24,0,14619,2850,0,0.73095
"63",50000,1,3,2,25,-1,42838,1759,0,0.85676
"64",3e+05,2,1,1,45,-1,291,291,0,0.00097
"65",30000,2,2,2,22,0,28387,1686,1,0.946233333333333
"66",240000,2,2,2,44,1,0,0,1,0
"67",470000,2,3,3,33,0,165254,6400,0,0.351604255319149
"68",360000,2,1,2,26,0,23411,4796,0,0.0650305555555555
"69",60000,1,3,2,30,0,26324,1576,1,0.438733333333333
"70",4e+05,2,2,1,44,0,131595,10700,0,0.3289875
"71",50000,2,3,2,49,0,48909,1676,0,0.97818
"72",160000,1,2,2,33,0,130028,4400,0,0.812675
"73",160000,2,2,2,32,0,3826,1147,0,0.0239125
"74",130000,2,1,1,35,0,81313,40000,0,0.625484615384615
"75",20000,1,3,2,44,2,8583,0,0,0.42915
"76",2e+05,1,1,1,53,2,138180,6300,1,0.6909
"77",280000,2,1,2,39,-1,7524,0,0,0.0268714285714286
"78",60000,2,2,2,23,0,45648,1937,0,0.7608
"79",90000,1,2,2,35,0,83725,3621,0,0.930277777777778
"80",150000,1,1,2,27,0,86009,4031,0,0.573393333333333
"81",50000,2,3,1,22,0,18722,1411,0,0.37444
"82",20000,1,2,1,38,0,17973,1699,1,0.89865
"83",50000,2,3,2,22,0,44698,1767,1,0.89396
"84",60000,2,2,2,26,2,56685,0,0,0.94475
"85",70000,2,2,2,24,-1,5580,0,0,0.0797142857142857
"86",80000,2,2,1,36,-1,6108,2861,0,0.07635
"87",130000,1,2,2,38,0,171438,10908,0,1.31875384615385
"88",330000,2,1,1,31,0,105879,9260,0,0.320845454545455
"89",50000,1,3,1,47,0,13244,2000,0,0.26488
"90",280000,1,2,1,41,2,135673,6500,0,0.484546428571429
"91",1e+05,2,1,2,24,0,52128,2000,0,0.52128
"92",50000,1,2,2,41,0,19015,1340,0,0.3803
"93",30000,1,1,2,24,-1,18199,0,1,0.606633333333333
"94",240000,1,1,2,28,-1,326,326,0,0.00135833333333333
"95",80000,1,2,2,26,2,14029,2000,1,0.1753625
"96",4e+05,1,2,1,34,-1,19660,9677,0,0.04915
"97",240000,2,2,2,38,0,50254,2000,0,0.209391666666667
"98",50000,1,3,2,37,2,46004,1000,1,0.92008
"99",450000,1,1,1,40,1,0,0,1,0
"100",110000,2,1,1,48,1,0,0,0,0
"101",310000,2,2,1,35,2,304991,13019,1,0.983841935483871
"102",20000,1,1,2,27,0,19115,1404,0,0.95575
"103",20000,1,2,2,23,1,0,0,0,0
"104",2e+05,1,3,2,52,0,110151,3568,0,0.550755
"105",180000,1,1,1,36,0,163736,4655,1,0.909644444444444
"106",50000,1,2,1,51,0,3347,1000,1,0.06694
"107",60000,1,3,1,55,3,60521,2504,0,1.00868333333333
"108",420000,1,2,1,34,0,253454,9744,0,0.603461904761905
"109",330000,1,3,1,46,0,227389,8210,0,0.689057575757576
"110",30000,2,2,2,22,0,28452,2000,0,0.9484
"111",240000,1,2,1,34,0,10674,1500,0,0.044475
"112",150000,1,1,2,27,0,17444,2500,0,0.116293333333333
"113",210000,2,2,1,33,0,7166,1500,0,0.0341238095238095
"114",50000,2,3,1,51,-1,752,300,1,0.01504
"115",50000,1,1,2,24,0,50801,2360,0,1.01602
"116",240000,1,1,2,47,1,0,0,1,0
"117",180000,1,2,2,28,-1,1832,0,0,0.0101777777777778
"118",50000,1,2,2,23,1,10131,1000,0,0.20262
"119",170000,1,2,2,29,-2,12159,10000,0,0.0715235294117647
"120",50000,1,1,2,28,0,4999,1000,0,0.09998
"121",170000,2,2,2,27,0,19269,1661,1,0.113347058823529
"122",2e+05,1,1,2,34,1,197236,8000,0,0.98618
"123",80000,2,2,1,23,1,9168,1650,0,0.1146
"124",140000,1,2,1,32,0,86627,3455,0,0.618764285714286
"125",80000,1,1,2,25,0,42444,30000,0,0.53055
"126",280000,2,2,1,56,0,208775,8042,0,0.745625
"127",30000,2,3,2,26,0,9014,1700,0,0.300466666666667
"128",140000,1,1,1,34,0,23944,5000,0,0.171028571428571
"129",2e+05,2,1,2,37,0,105420,4000,0,0.5271
"130",2e+05,2,3,2,30,0,196031,7300,0,0.980155
"131",210000,1,3,1,45,2,115785,10478,1,0.551357142857143
"132",50000,1,3,1,57,3,12854,0,0,0.25708
"133",30000,1,1,2,41,2,24357,3500,0,0.8119
"134",50000,1,2,2,27,2,390,390,0,0.0078
"135",290000,1,3,1,47,-1,1234,396,0,0.0042551724137931
"136",250000,2,1,1,34,0,141223,17994,0,0.564892
"137",60000,2,2,1,46,0,21148,3000,0,0.352466666666667
"138",110000,2,1,2,27,0,101640,5500,0,0.924
"139",1e+05,1,2,1,27,-1,102349,3166,0,1.02349
"140",90000,2,2,1,35,0,72112,3500,0,0.801244444444444
"141",50000,2,2,2,22,0,28040,1510,0,0.5608
"142",270000,1,2,2,37,0,37695,5000,0,0.139611111111111
"143",360000,1,1,2,29,1,0,0,0,0
"144",130000,1,3,1,56,1,64617,3000,1,0.497053846153846
"145",80000,1,1,2,30,-2,6187,504,0,0.0773375
"146",50000,1,2,2,30,1,48860,0,0,0.9772
"147",20000,2,2,2,22,0,16001,1212,0,0.80005
"148",80000,2,2,1,29,0,77883,5800,0,0.9735375
"149",80000,2,3,2,35,0,49608,12500,0,0.6201
"150",60000,2,2,1,24,0,58024,2500,1,0.967066666666667
"151",20000,1,2,2,25,0,10642,1200,0,0.5321
"152",1e+05,2,2,1,38,1,14483,0,1,0.14483
"153",2e+05,2,3,2,47,2,199436,8214,1,0.99718
"154",20000,2,2,2,31,1,21703,0,0,1.08515
"155",310000,1,1,2,32,0,59901,10020,0,0.193229032258065
"156",60000,2,1,2,27,2,19625,1342,1,0.327083333333333
"157",180000,2,1,2,29,-1,11386,199,0,0.0632555555555556
"158",50000,1,2,1,36,0,47790,2000,0,0.9558
"159",50000,2,1,2,24,1,36166,1900,1,0.72332
"160",150000,2,2,1,34,-2,0,0,0,0
"161",20000,2,1,2,22,0,18553,1500,0,0.92765
"162",5e+05,2,1,1,34,-2,412,138,0,0.000824
"163",30000,2,3,2,22,1,29010,1000,1,0.967
"164",180000,2,1,1,38,-2,750,0,0,0.00416666666666667
"165",140000,1,1,2,31,0,27123,25000,0,0.193735714285714
"166",140000,2,1,2,26,-1,13424,10000,0,0.0958857142857143
"167",120000,1,2,2,26,0,107314,5000,0,0.894283333333333
"168",360000,2,2,1,48,0,226430,9100,0,0.628972222222222
"169",210000,2,2,1,41,-1,3088,1586,1,0.0147047619047619
"170",80000,2,2,2,24,0,81625,3200,1,1.0203125
"171",330000,2,1,1,50,-1,8872,4345,0,0.0268848484848485
"172",220000,1,1,2,24,0,105607,5000,0,0.480031818181818
"173",210000,2,1,1,38,1,0,0,1,0
"174",40000,2,3,1,43,0,38257,1700,0,0.956425
"175",30000,1,2,2,39,0,28347,3036,0,0.9449
"176",470000,1,2,2,27,2,296573,13000,0,0.631006382978723
"177",30000,1,3,1,42,-1,390,390,0,0.013
"178",80000,1,2,2,36,2,79278,3100,0,0.990975
"179",110000,2,3,0,31,0,89989,4000,0,0.818081818181818
"180",360000,2,1,1,40,2,105167,12000,1,0.292130555555556
"181",330000,2,3,2,45,0,335196,12388,0,1.01574545454545
"182",3e+05,2,2,2,35,0,291619,12019,0,0.972063333333333
"183",320000,2,2,2,33,0,91653,10042,0,0.286415625
"184",50000,2,3,2,37,1,52626,0,1,1.05252
"185",170000,2,1,2,28,0,130370,6530,0,0.766882352941176
"186",350000,1,3,1,44,-1,3265,2686,0,0.00932857142857143
"187",20000,1,2,1,37,0,16455,1609,0,0.82275
"188",50000,1,2,2,23,2,49758,2401,1,0.99516
"189",20000,2,3,2,24,1,19154,0,0,0.9577
"190",50000,2,1,2,24,0,35084,2090,0,0.70168
"191",20000,1,2,2,23,1,20235,0,1,1.01175
"192",50000,1,2,1,26,0,102800,0,0,2.056
"193",190000,1,2,2,34,2,129801,5000,1,0.683163157894737
"194",60000,2,2,1,33,0,58203,1506,0,0.97005
"195",80000,1,1,2,35,-1,7988,3983,0,0.09985
"196",150000,2,2,2,27,0,127402,4500,0,0.849346666666667
"197",210000,2,1,2,31,-2,1440,0,0,0.00685714285714286
"198",240000,2,3,1,50,0,234205,10116,1,0.975854166666667
"199",140000,2,2,3,41,0,19346,3000,1,0.138185714285714
"200",60000,2,1,2,28,1,21501,0,0,0.35835
"201",50000,1,1,2,39,0,47174,1800,0,0.94348
"202",50000,2,2,2,27,0,26655,1800,0,0.5331
"203",180000,2,1,2,32,-1,3139,2821,0,0.0174388888888889
"204",20000,2,2,2,40,0,19816,1601,0,0.9908
"205",1e+05,2,2,2,27,0,37767,1788,0,0.37767
"206",330000,1,1,2,25,0,46140,2504,0,0.139818181818182
"207",50000,1,3,1,46,0,35713,1561,0,0.71426
"208",50000,2,2,2,26,1,50867,1710,0,1.01734
"209",30000,1,2,2,28,0,29242,5006,0,0.974733333333333
"210",140000,2,2,2,26,0,101551,5366,1,0.725364285714286
"211",160000,2,1,2,28,0,70243,7042,0,0.43901875
"212",4e+05,2,2,2,29,-1,19532,3127,0,0.04883
"213",50000,1,2,1,25,0,27699,1565,0,0.55398
"214",160000,2,2,1,33,-1,8015,2453,0,0.05009375
"215",1e+05,2,3,1,43,0,62170,0,0,0.6217
"216",220000,1,1,1,48,2,210380,10000,1,0.956272727272727
"217",510000,2,1,2,29,0,78331,40010,0,0.153590196078431
